,majorityvote,majorityvotemax,boundth6,boundth7,div_boundth7,r_boundth7,tv_boundth7
fashion_to_pu_0.01_uniformnoisepgd_uniformnoise_1_l2_100,0.043639998883008964,0.04749999940395355,0.1067533791065216,0.17708255350589752,1.1205767393112185,0.0394214503467083,-1.0
fashion_to_pu_0.01_uniformnoiseiterativefgsm_uniformnoise_1_l2_100,0.04119500145316124,0.04349999874830246,0.09518006443977356,0.16403833031654358,0.3891794979572296,0.034411631524562836,-1.0
fashion_to_pu_0.01_uniformnoise_uniformnoise_1_l2_100,0.03824999928474426,0.04199999943375588,0.08792466670274733,0.16047988831996918,0.031710445880889886,0.03338928893208504,-1.0
fashion_to_pu_0.01_nothing_uniformnoiseiterativefgsm_1_l2_100,0.13225999474525452,0.17550000548362732,0.299652099609375,0.3757579624652863,0.03883382678031922,0.14101313054561615,-1.0
fashion_to_pu_0.01_uniformnoiseiterativefgsm_uniformnoisepgd_1_l2_100,0.07785499840974808,0.08449999988079071,0.219309002161026,0.2787822782993317,0.3891794979572296,0.09178359806537628,-1.0
fashion_to_pu_0.01_nothing_uniformnoisepgd_1_l2_100,0.2334149926900864,0.2865000069141388,0.4519459009170532,0.5249265432357788,0.03883382678031922,0.21559742093086245,-1.0
fashion_to_pu_0.01_uniformnoise_uniformnoiseiterativefgsm_1_l2_100,0.07003500312566757,0.1860000044107437,0.2269304096698761,0.3708456158638001,0.031710445880889886,0.13857215642929074,-1.0
fashion_to_pu_0.01_uniformnoisepgd_uniformnoisepgd_1_l2_100,0.0769599974155426,0.08100000023841858,0.19984634220600128,0.26859360933303833,1.1205767393112185,0.085176981985569,-1.0
mnist_1_7_0.01_uniformnoiseiterativefgsm_uniformnoiseiterativefgsm_1_l2_100,0.012829403392970562,0.018492834642529488,0.03931970149278642,0.12208275496959685,0.0061618909239768965,0.014245287515223025,-1.0
mnist_1_7_0.01_uniformnoisepgd_uniformnoisepgd_1_l2_100,0.021303744986653328,0.024503005668520927,0.06545069813728333,0.13718539476394653,0.07112284749746323,0.02165799587965012,-1.0
mnist_1_7_0.01_uniformnoise_nothing_1_l2_100,0.004623208660632372,0.004623208660632372,0.017849145457148552,0.09915513545274733,0.0029203740414232016,0.002788404934108257,-1.0
mnist_1_7_0.01_nothing_uniformnoisepgd_1_l2_100,0.262584388256073,0.3254738748073578,0.5764999389648438,0.68421471118927,0.005962505005300045,0.29531168937683105,-1.0
mnist_1_7_0.01_uniformnoiseiterativefgsm_uniformnoisepgd_1_l2_100,0.03254276514053345,0.039759594947099686,0.08584719151258469,0.16581907868385315,0.0061618909239768965,0.036113444715738297,-1.0
mnist_1_7_0.01_nothing_uniformnoiseiterativefgsm_1_l2_100,0.06612575054168701,0.10587147623300552,0.16931003332138062,0.28634873032569885,0.005962505005300045,0.09637869894504547,-1.0
mnist_1_7_0.01_uniformnoisepgd_uniformnoiseiterativefgsm_1_l2_100,0.013421174138784409,0.01803051307797432,0.043386705219745636,0.12078271806240085,0.07112284749746323,0.013456654734909534,-1.0
mnist_1_7_0.01_uniformnoisepgd_uniformnoise_1_l2_100,0.005584836006164551,0.006472492124885321,0.02180749736726284,0.10274217277765274,0.07112284749746323,0.004436379764229059,-1.0
mnist_1_7_0.01_uniformnoisepgd_nothing_1_l2_100,0.00601017102599144,0.00601017102599144,0.022630222141742703,0.10241073369979856,0.07112284749746323,0.004270661156624557,-1.0
mnist_1_7_0.01_uniformnoise_uniformnoiseiterativefgsm_1_l2_100,0.03142394870519638,0.05594082176685333,0.08751745522022247,0.20012709498405454,0.0029203740414232016,0.053274385631084435,-1.0
mnist_1_7_0.01_uniformnoiseiterativefgsm_uniformnoise_1_l2_100,0.006070272997021675,0.006472492124885321,0.0192797351628542,0.10088133811950684,0.0061618909239768965,0.0036445779260247946,-1.0
mnist_1_7_0.01_nothing_uniformnoise_1_l2_100,0.004003698471933603,0.004623208660632372,0.022004455327987667,0.1030249372124672,0.005962505005300045,0.00471680611371994,-1.0
mnist_1_7_0.01_nothing_nothing_1_l2_100,0.004623208660632372,0.004623208660632372,0.016513288021087646,0.09854025393724444,0.005962505005300045,0.0024744635447859764,-1.0
mnist_1_7_0.01_uniformnoise_uniformnoisepgd_1_l2_100,0.1506703644990921,0.19047619402408605,0.3548990488052368,0.4540797472000122,0.0029203740414232016,0.18025071918964386,-1.0
mnist_1_7_0.01_uniformnoiseiterativefgsm_nothing_1_l2_100,0.006472492124885321,0.006472492124885321,0.019325045868754387,0.1000627875328064,0.0061618909239768965,0.0032353021670132875,-1.0
mnist_1_7_0.01_uniformnoise_uniformnoise_1_l2_100,0.002852519741281867,0.004160887561738491,0.018871359527111053,0.10154389590024948,0.0029203740414232016,0.003982785157859325,-1.0
mnist_4_9_0.01_uniformnoiseiterativefgsm_uniformnoise_1_l2_100,0.0291411355137825,0.03415369242429733,0.08317311108112335,0.1581580936908722,0.4745704531669617,0.03129248321056366,-1.0
mnist_4_9_0.01_uniformnoise_nothing_1_l2_100,0.023606227710843086,0.023606227710843086,0.07268936932086945,0.139621764421463,0.00036729115527123213,0.023027177900075912,-1.0
mnist_4_9_0.01_uniformnoisepgd_uniformnoise_1_l2_100,0.026489201933145527,0.03063786961138248,0.09562894701957704,0.1688259094953537,0.1723645031452179,0.037263039499521255,-1.0
mnist_4_9_0.01_nothing_uniformnoisepgd_1_l2_100,0.5201758146286011,0.6825715899467468,1.058470606803894,1.3924412727355957,0.001664959592744708,0.6494341492652893,-1.0
mnist_4_9_0.01_uniformnoise_uniformnoise_1_l2_100,0.018402813002467155,0.027122048661112785,0.058856505900621414,0.13920903205871582,0.0003672911552712321,0.022820809856057167,-1.0
mnist_4_9_0.01_uniformnoiseiterativefgsm_uniformnoisepgd_1_l2_100,0.11128578335046768,0.12606729567050934,0.381655216217041,0.454275906085968,0.4745704531669617,0.17935138940811154,-1.0
mnist_4_9_0.01_nothing_uniformnoiseiterativefgsm_1_l2_100,0.15734806656837466,0.3370165824890137,0.3866875767707825,0.776433527469635,0.001664959592744708,0.34143027663230896,-1.0
mnist_4_9_0.01_uniformnoise_uniformnoisepgd_1_l2_100,0.4856002032756805,0.6484178900718689,1.0161149501800537,1.337553858757019,0.0003672911552712321,0.6219932436943054,-1.0
mnist_4_9_0.01_uniformnoisepgd_uniformnoisepgd_1_l2_100,0.11077850311994553,0.12857860326766968,0.35984694957733154,0.4143827259540558,0.1723645031452179,0.1600414514541626,-1.0
mnist_4_9_0.01_uniformnoisepgd_uniformnoiseiterativefgsm_1_l2_100,0.07175791263580322,0.09040682762861252,0.2767590880393982,0.334587424993515,0.1723645031452179,0.1201438009738922,-1.0
